"","Player","Team","Type","M","Inn","B","Runs","Wkts","Econ","Avg","SR","X5W","X10W"
"1","Virat Kohli","India","IPL",192,26,251,368,4,8.8,92,62.75,0,0
"2","Rohit Sharma","India","IPL",200,30,332,440,15,7.95,29.33,22.13,0,0
"3","Shikhar Dhawan","India","IPL",176,6,48,66,4,8.25,16.5,12,0,0
"4","Shubman Gill","India","IPL",41,0,0,0,0,0,0,0,0,0
"5","Shreyas Iyer","India","IPL",79,0,0,0,0,0,0,0,0,0
"6","Manish Pandey","India","IPL",146,0,0,0,0,0,0,0,0,0
"7","Mayank Agarwal","India","IPL",88,0,0,0,0,0,0,0,0,0
"8","Prithvi Shaw","India","IPL",38,0,0,0,0,0,0,0,0,0
"9","Cheteshwar Pujara","India","IPL",30,0,0,0,0,0,0,0,0,0
"10","Ajinkya Rahane","India","IPL",149,1,6,5,1,5,5,6,0,0
"11","Hardik Pandya","India","IPL",80,60,869,1313,42,9.07,31.26,20.69,0,0
"12","Hanuma Vihari","India","IPL",24,6,42,47,1,6.71,47,42,0,0
"13","Ravindra Jadeja","India","IPL",184,155,2713,3470,114,7.67,30.44,23.8,1,0
"14","Ravichandran Ashwin","India","IPL",154,151,3230,3700,138,6.87,26.81,23.41,0,0
"15","KL Rahul","India","IPL",81,0,0,0,0,0,0,0,0,0
"16","Sanju Samson","India","IPL",107,0,0,0,0,0,0,0,0,0
"17","Wriddhiman Saha","India","IPL",124,0,0,0,0,0,0,0,0,0
"18","Rishabh Pant","India","IPL",68,0,0,0,0,0,0,0,0,0
"19","Mohammed Shami","India","IPL",63,63,1354,2007,60,8.89,33.45,22.57,0,0
"20","Jasprit Bumrah","India","IPL",92,92,2092,2587,109,7.42,23.73,19.19,0,0
"21","Kuldeep Yadav","India","IPL",45,43,896,1236,40,8.28,30.9,22.4,0,0
"22","Yuzvendra Chahal","India","IPL",99,98,2130,2723,121,7.67,22.5,17.6,0,0
"23","Navdeep Saini","India","IPL",26,26,562,776,17,8.28,45.65,33.06,0,0
"24","Shardul Thakur","India","IPL",45,44,901,1340,46,8.92,29.13,19.59,0,0
"25","Umesh Yadav","India","IPL",121,120,2522,3579,119,8.51,30.08,21.19,0,0
"26","Mohammed Siraj","India","IPL",35,35,716,1084,39,9.08,27.79,18.36,0,0
"27","William Porterfield","Ireland","IPL",0,0,0,0,0,0,0,0,0,0
"28","James McCollum","Ireland","IPL",0,0,0,0,0,0,0,0,0,0
"29","Andrew Balbirnie","Ireland","IPL",0,0,0,0,0,0,0,0,0,0
"30","Tyrone Kane","Ireland","IPL",0,0,0,0,0,0,0,0,0,0
"31","Kevin O Brien","Ireland","IPL",0,0,0,0,0,0,0,0,0,0
"32","Paul Stirling","Ireland","IPL",0,0,0,0,0,0,0,0,0,0
"33","Stuart Thompson","Ireland","IPL",0,0,0,0,0,0,0,0,0,0
"34","Gary Wilson","Ireland","IPL",0,0,0,0,0,0,0,0,0,0
"35","Lorcan Tucker","Ireland","IPL",0,0,0,0,0,0,0,0,0,0
"36","Peter Chase","Ireland","IPL",0,0,0,0,0,0,0,0,0,0
"37","George Dockrell","Ireland","IPL",0,0,0,0,0,0,0,0,0,0
"38","Tim Murtagh","Ireland","IPL",0,0,0,0,0,0,0,0,0,0
"39","Mark Adair","Ireland","IPL",0,0,0,0,0,0,0,0,0,0
"40","Andy McBrine","Ireland","IPL",0,0,0,0,0,0,0,0,0,0
"41","Barry McCarthy","Ireland","IPL",0,0,0,0,0,0,0,0,0,0
"42","Boyd Rankin","Ireland","IPL",0,0,0,0,0,0,0,0,0,0
"43","Fakhar Zaman","Pakistan","IPL",0,0,0,0,0,0,0,0,0,0
"44","Imam-ul-Haq","Pakistan","IPL",0,0,0,0,0,0,0,0,0,0
"45","Babar Azam","Pakistan","IPL",0,0,0,0,0,0,0,0,0,0
"46","Asif Ali","Pakistan","IPL",0,0,0,0,0,0,0,0,0,0
"47","Haris Sohail","Pakistan","IPL",0,0,0,0,0,0,0,0,0,0
"48","Mohammad Hafeez","Pakistan","IPL",8,4,60,68,2,6.8,34,30,0,0
"49","Shadab Khan","Pakistan","IPL",0,0,0,0,0,0,0,0,0,0
"50","Imad Wasim","Pakistan","IPL",0,0,0,0,0,0,0,0,0,0
"51","Sarfaraz Ahmed","Pakistan","IPL",0,0,0,0,0,0,0,0,0,0
"52","Wahab Riaz","Pakistan","IPL",0,0,0,0,0,0,0,0,0,0
"53","Shaheen Afridi","Pakistan","IPL",0,0,0,0,0,0,0,0,0,0
"54","Hasan Ali","Pakistan","IPL",0,0,0,0,0,0,0,0,0,0
"55","Mohammad Hasnain","Pakistan","IPL",0,0,0,0,0,0,0,0,0,0
"56","Mohammad Amir","Pakistan","IPL",0,0,0,0,0,0,0,0,0,0
"57","Aaron Finch","Australia","IPL",87,5,43,67,1,9.35,67,43,0,0
"58","Steven Smith","Australia","IPL",95,1,2,5,0,0,0,0,0,0
"59","David Warner","Australia","IPL",142,1,1,2,0,0,0,0,0,0
"60","Joe Burns","Australia","IPL",0,0,0,0,0,0,0,0,0,0
"61","Will Pucovski","Australia","IPL",0,0,0,0,0,0,0,0,0,0
"62","Glenn Maxwell","Australia","IPL",82,50,546,780,19,8.57,41.05,28.74,0,0
"63","Marcus Stoinis","Australia","IPL",46,37,545,852,28,9.38,30.43,19.46,0,0
"64","Moises Henriques","Australia","IPL",57,55,890,1244,38,8.39,32.74,23.42,0,0
"65","Marnus Labuschagne","Australia","IPL",0,0,0,0,0,0,0,0,0,0
"66","Travis Head","Australia","IPL",10,5,48,81,2,10.12,40.5,24,0,0
"67","Michael Neser","Australia","IPL",1,1,24,62,0,15.5,0,0,0,0
"68","Ashton Agar","Australia","IPL",0,0,0,0,0,0,0,0,0,0
"69","Cameron Green","Australia","IPL",0,0,0,0,0,0,0,0,0,0
"70","Daniel Sams","Australia","IPL",3,3,72,114,0,9.5,0,0,0,0
"71","Alex Carey","Australia","IPL",3,0,0,0,0,0,0,0,0,0
"72","Matthew Wade","Australia","IPL",3,0,0,0,0,0,0,0,0,0
"73","Tim Paine","Australia","IPL",2,0,0,0,0,0,0,0,0,0
"74","Pat Cummins","Australia","IPL",30,30,673,908,29,8.1,31.31,23.21,0,0
"75","Nathan Lyon","Australia","IPL",0,0,0,0,0,0,0,0,0,0
